Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20225065,WA,7,2022,Sunday,19:27:00,Single,No,No,No,60,Driver,Female,18,-9,-9,-9,-9,No,No,17_to_25,Weekend,Night,1,No,Night
20221080,NSW,7,2022,Sunday,03:00:00,Single,No,No,No,80,Driver,Male,17,Inner Regional Australia,Sydney - Sutherland,Sutherland,National or State Highway,No,No,17_to_25,Weekend,Night,1,No,Night
20222021,Vic,7,2022,Sunday,04:50:00,Single,-9,-9,-9,50,Motorcycle rider,Male,18,Major Cities of Australia,Melbourne - North East,Whittlesea,Local Road,No,No,17_to_25,Weekend,Night,1,-9,Night
20223099,Qld,7,2022,Friday,15:00:00,Multiple,No,Yes,No,90,Driver,Male,18,Inner Regional Australia,Gold Coast,Scenic Rim,Sub-arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
20221028,NSW,7,2022,Friday,12:05:00,Multiple,No,No,No,100,Motorcycle rider,Male,17,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Sub-arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
20222046,Vic,6,2022,Sunday,01:18:00,Multiple,No,No,No,80,Passenger,Male,18,Inner Regional Australia,Warrnambool and South West,Corangamite,Local Road,No,No,17_to_25,Weekend,Night,1,No,Night
20225143,WA,6,2022,Saturday,13:28:00,Single,No,No,No,110,Passenger,Male,17,-9,-9,-9,-9,No,No,17_to_25,Weekend,Day,2,No,Day
20225143,WA,6,2022,Saturday,13:28:00,Single,No,No,No,110,Driver,Male,17,-9,-9,-9,-9,No,No,17_to_25,Weekend,Day,2,No,Day
20221159,NSW,6,2022,Saturday,13:08:00,Single,No,No,No,110,Passenger,Male,18,Inner Regional Australia,Southern Highlands and Shoalhaven,Wingecarribee,National or State Highway,No,No,17_to_25,Weekend,Day,1,No,Day
20225128,WA,6,2022,Saturday,14:48:00,Single,No,No,No,110,Passenger,Female,18,-9,-9,-9,-9,No,No,17_to_25,Weekend,Day,1,No,Day
20223259,Qld,6,2022,Thursday,15:00:00,Single,No,No,No,60,Passenger,Male,16,Major Cities of Australia,Sunshine Coast,Sunshine Coast,Local Road,No,No,0_to_16,Weekday,Day,1,No,Day
20221228,NSW,6,2022,Wednesday,12:10:00,Multiple,No,Yes,No,100,Passenger,Female,16,Outer Regional Australia,New England and North West,Walcha,Local Road,No,No,0_to_16,Weekday,Day,2,No,Day
20221149,NSW,6,2022,Wednesday,17:28:00,Multiple,No,No,No,100,Passenger,Male,16,Outer Regional Australia,New England and North West,Narrabri,Sub-arterial Road,No,No,0_to_16,Weekday,Day,3,No,Day
20223020,Qld,6,2022,Wednesday,12:00:00,Single,No,No,No,80,Passenger,Female,15,Major Cities of Australia,Logan - Beaudesert,Logan,Local Road,No,No,0_to_16,Weekday,Day,2,No,Day
20223267,Qld,6,2022,Monday,08:00:00,Single,No,No,No,100,Driver,Male,13,Inner Regional Australia,Darling Downs - Maranoa,Toowoomba,National or State Highway,No,No,0_to_16,Weekday,Day,1,No,Day
