Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,National Remoteness Areas,SA4 Name 2021,National LGA Name 2021,National Road Type,Christmas Period,Easter Period,Age Group,Day of week,Time of day,Number Fatalities,"Bus 
Involvement",Time of Day
20201104,NSW,10,2020,Saturday,14:50:00,Single,No,No,No,100,Driver,Male,17,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Sub-arterial Road,No,No,17_to_25,Weekend,Day,1,No,Day
20201021,NSW,10,2020,Tuesday,11:33:00,Multiple,No,No,No,50,Motorcycle rider,Male,18,Major Cities of Australia,Illawarra,Wollongong,Local Road,No,No,17_to_25,Weekday,Day,1,No,Day
20201127,NSW,9,2020,Monday,19:05:00,Single,No,No,No,50,Driver,Male,17,Inner Regional Australia,Richmond - Tweed,Lismore,Local Road,No,No,17_to_25,Weekday,Night,1,No,Night
20201196,NSW,7,2020,Saturday,23:10:00,Single,No,No,No,50,Passenger,Male,17,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Local Road,No,No,17_to_25,Weekend,Night,1,No,Night
20201092,NSW,7,2020,Saturday,15:20:00,Single,No,No,No,100,Passenger,Male,14,Outer Regional Australia,Far West and Orana,Warrumbungle,National or State Highway,No,No,0_to_16,Weekend,Day,2,No,Day
20201113,NSW,7,2020,Tuesday,11:40:00,Single,No,No,No,80,Driver,Female,17,Inner Regional Australia,Richmond - Tweed,Ballina,Sub-arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
20201262,NSW,7,2020,Wednesday,15:05:00,Single,Yes,No,No,40,Pedestrian,Female,14,Inner Regional Australia,Southern Highlands and Shoalhaven,Shoalhaven,Local Road,No,No,0_to_16,Weekday,Day,1,Yes,Day
20201167,NSW,6,2020,Wednesday,14:48:00,Multiple,No,No,Yes,100,Motorcycle rider,Male,13,Outer Regional Australia,Far West and Orana,Narromine,Local Road,No,No,0_to_16,Weekday,Day,1,No,Day
20201260,NSW,6,2020,Monday,13:14:00,Multiple,No,No,No,80,Driver,Female,17,Inner Regional Australia,Mid North Coast,Mid-Coast,Arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
20201234,NSW,5,2020,Sunday,23:30:00,Multiple,No,No,No,50,Motorcycle pillion passenger,Female,17,Major Cities of Australia,Illawarra,Wollongong,Local Road,No,No,17_to_25,Weekend,Night,1,No,Night
20201165,NSW,3,2020,Sunday,00:10:00,Single,No,No,No,100,Driver,Male,18,Outer Regional Australia,Central West,Parkes,Sub-arterial Road,No,No,17_to_25,Weekend,Night,1,No,Night
20201194,NSW,3,2020,Saturday,04:21:00,Single,No,No,No,50,Passenger,Male,17,Major Cities of Australia,Central Coast,Central Coast,Collector Road,No,No,17_to_25,Weekend,Night,1,No,Night
20201169,NSW,3,2020,Saturday,06:05:00,Single,No,No,No,100,Driver,Male,17,Outer Regional Australia,Riverina,Temora,Arterial Road,No,No,17_to_25,Weekend,Day,1,No,Day
20201079,NSW,3,2020,Tuesday,11:30:00,Single,No,No,No,100,Driver,Female,18,Inner Regional Australia,Central West,Cabonne,Sub-arterial Road,No,No,17_to_25,Weekday,Day,1,No,Day
